Number of nodes 316 
   297 :  8.4753176e-01  2.9344396e-02 
   298 :  1.3901728e+00 -3.6624415e-02 
   299 :  6.0086392e-01 -7.8453055e-02 
   300 : -1.4229451e+00  3.7944500e-01 
   301 : -2.6455538e-01  8.2987241e-02 
   302 : -2.8319617e-01  3.0649826e-01 
   303 : -1.9644191e-01  4.1644854e-01 
   304 : -5.3927455e-02  4.6594429e-01 
   305 : -1.7769898e+00 -1.3623332e-01 
   306 : -1.2469404e+00  3.3358135e-01 
   307 : -1.0084824e+00 -1.1747590e-02 
   308 : -1.7777302e+00  1.5736950e-01 
   309 : -7.6414850e-01 -8.9560882e-02 
   310 :  1.1977036e+00  2.5920210e-01 
   311 : -9.9449914e-01  3.8230135e-01 
   312 : -7.3163750e-01  7.1712786e-02 
   313 : -1.7796397e+00  2.3699682e-01 
   314 : -7.9219205e-01  4.0044653e-01 
   315 : -5.0538700e-01  4.0472247e-01 
Number of edges 121 
     0 :      0      4 
     1 :      4      5 
     2 :      5      6 
     3 :      6      7 
     4 :      7      8 
     5 :      8      9 
     6 :      9      0 
     7 :      1     10 
     8 :     10     11 
     9 :     11     12 
    10 :     12     13 
    11 :     13     14 
    12 :     14     15 
    13 :     15     16 
    14 :     16     17 
    15 :     17     18 
    16 :     18     19 
    17 :     19     20 
    18 :     20     21 
    19 :     21     22 
    20 :     22     23 
    21 :     23     24 
    22 :     24     25 
    23 :     25     26 
    24 :     26     27 
    25 :     27     28 
    26 :     28     29 
    27 :     29     30 
    28 :     30     31 
    29 :     31     32 
    30 :     32     33 
    31 :     33     34 
    32 :     34     35 
    33 :     35     36 
    34 :     36     37 
    35 :     37     38 
    36 :     38     39 
    37 :     39     40 
    38 :     40     41 
    39 :     41     42 
    40 :     42     43 
    41 :     43     44 
    42 :     44     45 
    43 :     45     46 
    44 :     46     47 
    45 :     47     48 
    46 :     48     49 
    47 :     49     50 
    48 :     50     51 
    49 :     51     52 
    50 :     52     53 
    51 :     53     54 
    52 :     54     55 
    53 :     55     56 
    54 :     56     57 
    55 :     57     58 
    56 :     58     59 
    57 :     59     60 
    58 :     60     61 
    59 :     61     62 
    60 :     62     63 
    61 :     63     64 
    62 :     64     65 
    63 :     65     66 
    64 :     66     67 
    65 :     67     68 
    66 :     68     69 
    67 :     69     70 
    68 :     70     71 
    69 :     71     72 
    70 :     72     73 
    71 :     73     74 
    72 :     74     75 
    73 :     75     76 
    74 :     76     77 
    75 :     77     78 
    76 :     78     79 
    77 :     79     80 
    78 :     80     81 
    79 :     81     82 
    80 :     82     83 
    81 :     83     84 
    82 :     84     85 
    83 :     85     86 
    84 :     86     87 
    85 :     87     88 
    86 :     88     89 
    87 :     89     90 
    88 :     90     91 
    89 :     91     92 
    90 :     92     93 
    91 :     93     94 
    92 :     94      1 
    93 :      2     95 
    94 :     95     96 
    95 :     96     97 
    96 :     97     98 
    97 :     98     99 
    98 :     99    100 
    99 :    100    101 
   100 :    101    102 
   101 :    102    103 
   102 :    103    104 
   103 :    104    105 
   104 :    105    106 
   105 :    106    107 
   106 :    107      2 
   107 :      3    108 
   108 :    108    109 
   109 :    109    110 
   110 :    110    111 
   111 :    111    112 
   112 :    112    113 
   113 :    113    114 
   114 :    114    115 
   115 :    115    116 
   116 :    116    117 
   117 :    117    118 
   118 :    118    119 
   119 :    119    120 
   120 :    120      3 
Number of triangles 515 
     0 :    196    281    256
     1 :    220    243    119
     2 :     92    279    211
     3 :    163    190    150
     4 :     93    279     92
     5 :    164    264    221
     6 :     73    210     72
     7 :    154    155    134
     8 :    147    177     96
     9 :    210    212     72
    10 :    162    180    139
    11 :    168    205    103
    12 :     71    212    132
    13 :    148    190    181
    14 :    123    249    183
    15 :    157    202    173
    16 :    192    283    133
    17 :    182    191    168
    18 :     95    147     96
    19 :    107    172      2
    20 :    108    173    109
    21 :    102    168    103
    22 :    173    217    109
    23 :      3    154    134
    24 :     32    303    216
    25 :    119    243    120
    26 :    136    227    224
    27 :    101    162    139
    28 :     29    286    269
    29 :    172    250      2
    30 :    100    209    162
    31 :    148    181    147
    32 :     32    216     31
    33 :    150    190    148
    34 :    157    173    134
    35 :    209    253    162
    36 :    221    264    178
    37 :    139    182    168
    38 :     90    274     89
    39 :    197    198    137
    40 :    201    242    165
    41 :     10    279     94
    42 :      1     10     94
    43 :    105    267    106
    44 :    256    281    166
    45 :    138    281    196
    46 :    116    266    117
    47 :    176    202    157
    48 :    122    238    207
    49 :    106    267    213
    50 :    210    266    116
    51 :    133    235    192
    52 :     63    229    213
    53 :    290    305    191
    54 :    200    283    193
    55 :    127    226    194
    56 :    193    283    192
    57 :    163    218    190
    58 :     72    212     71
    59 :     89    274      9
    60 :     53    255     52
    61 :    198    199    137
    62 :    207    262    122
    63 :     63    213     62
    64 :    208    222    126
    65 :     52    255    166
    66 :    183    249    176
    67 :    165    242    212
    68 :    182    290    191
    69 :    212    242    132
    70 :     94    279     93
    71 :    269    286    110
    72 :    183    277    123
    73 :    227    246    224
    74 :     87    233     86
    75 :    176    270    202
    76 :     26    284    202
    77 :    215    280      0
    78 :      8    294     88
    79 :     17    276     16
    80 :     28    217     27
    81 :     47    209     46
    82 :    231    259    236
    83 :     15    280     14
    84 :    154    288    170
    85 :    131    305    290
    86 :    194    260    127
    87 :    193    295    200
    88 :    243    288    154
    89 :      0    280      4
    90 :    164    221    204
    91 :     27    284     26
    92 :    213    229    171
    93 :    190    218    135
    94 :    217    284     27
    95 :     59    205     58
    96 :     87    294    233
    97 :    258    265     75
    98 :    167    303     32
    99 :    224    244    136
   100 :     60    268    245
   101 :    137    278    197
   102 :    146    259    231
   103 :    206    207    179
   104 :     97    275     98
   105 :    236    241    231
   106 :     57    271    191
   107 :    135    311    190
   108 :     88    294     87
   109 :    118    265    258
   110 :    205    245    103
   111 :    169    243    220
   112 :     29    269     28
   113 :    155    157    134
   114 :    154    170    155
   115 :    245    268    104
   116 :     98    289     99
   117 :    200    292    283
   118 :    165    301    201
   119 :    180    182    139
   120 :    275    300     98
   121 :    147    181    177
   122 :     30    286     29
   123 :    162    195    180
   124 :    126    299    208
   125 :    165    212    210
   126 :     47    253    209
   127 :     98    300    289
   128 :    198    200    199
   129 :    240    263    189
   130 :    191    305     57
   131 :    202    270     26
   132 :    103    245    104
   133 :    247    273     42
   134 :    174    239    215
   135 :     14    280    215
   136 :    229    244    171
   137 :    119    258    220
   138 :    188    240    189
   139 :     73    266    210
   140 :     48    313    253
   141 :    215    274    174
   142 :     28    269    217
   143 :      0    274    215
   144 :    222    257    126
   145 :    162    253    195
   146 :    155    158    157
   147 :     78    219    169
   148 :    169    220     77
   149 :    251    257    222
   150 :     65    136     64
   151 :     14    215     13
   152 :     77    220     76
   153 :    256    293    131
   154 :     15    282      4
   155 :    180    196    182
   156 :    207    238    179
   157 :     71    132     70
   158 :     40    135     39
   159 :    136    229     64
   160 :     91    174     90
   161 :     78    169     77
   162 :     65    227    136
   163 :    174    274     90
   164 :    132    225     70
   165 :     33    167     32
   166 :     79    219     78
   167 :    253    313    195
   168 :     67    128     66
   169 :     36    129     35
   170 :    126    219     79
   171 :     52    166     51
   172 :    145    221    178
   173 :    142    228    201
   174 :    177    273    247
   175 :     56    131     55
   176 :     50    138     49
   177 :     12    211     11
   178 :     69    122     68
   179 :     85    137     84
   180 :     83    127     82
   181 :     80    126     79
   182 :     38    121     37
   183 :     24    123     23
   184 :     22    133     21
   185 :     20    130     19
   186 :    178    179    159
   187 :    145    178    159
   188 :    128    227     66
   189 :     69    225    122
   190 :    186    208    194
   191 :     70    225     69
   192 :    187    193    192
   193 :    187    192    185
   194 :    187    226    193
   195 :    186    194    187
   196 :    194    226    187
   197 :    186    222    208
   198 :    184    222    186
   199 :    223    224    161
   200 :    151    223    161
   201 :    160    221    145
   202 :    149    223    151
   203 :    144    228    142
   204 :    186    187    185
   205 :    196    308    138
   206 :    143    160    145
   207 :     64    229     63
   208 :    203    218    163
   209 :    151    161    153
   210 :    159    175    144
   211 :    142    201    140
   212 :    130    263    240
   213 :     59    245    205
   214 :     66    227     65
   215 :    184    186    185
   216 :    228    242    201
   217 :    161    206    153
   218 :    158    176    157
   219 :    145    159    144
   220 :    211    285     92
   221 :    191    271    168
   222 :    113    125    114
   223 :    164    204    203
   224 :    152    163    150
   225 :    158    184    183
   226 :    152    164    163
   227 :    141    230    143
   228 :    115    165    116
   229 :    151    153    152
   230 :    143    145    144
   231 :    131    290    256
   232 :      2    124     95
   233 :    146    231    230
   234 :    184    185    183
   235 :      3    134    108
   236 :    146    230    141
   237 :    175    228    144
   238 :    164    203    163
   239 :    189    197    156
   240 :      6    156      7
   241 :    158    183    176
   242 :    120    154      3
   243 :    151    152    150
   244 :    106    171    107
   245 :    168    271    205
   246 :    143    144    142
   247 :    101    139    102
   248 :    208    260    194
   249 :    125    140    114
   250 :    100    162    101
   251 :    189    198    197
   252 :    125    146    141
   253 :    124    147     95
   254 :    231    232    230
   255 :    141    143    142
   256 :    179    312    206
   257 :    112    214    113
   258 :    143    230    160
   259 :    124    149    148
   260 :     33    236    167
   261 :    149    151    150
   262 :    141    142    140
   263 :    199    261    137
   264 :    124    148    147
   265 :    179    238    159
   266 :    171    172    107
   267 :    125    141    140
   268 :    134    173    108
   269 :    111    216    112
   270 :     48    253     47
   271 :    149    150    148
   272 :     21    234     20
   273 :    133    234     21
   274 :     20    234    130
   275 :      6    188    156
   276 :    171    244    172
   277 :     23    235     22
   278 :    123    235     23
   279 :     22    235    133
   280 :    230    232    160
   281 :    165    210    116
   282 :    188    189    156
   283 :    215    239     13
   284 :     34    241    236
   285 :    250    307    223
   286 :     34    236     33
   287 :     99    209    100
   288 :    139    168    102
   289 :    156    233      7
   290 :     36    237    129
   291 :     19    240     18
   292 :    128    246    227
   293 :    106    213    171
   294 :     89    298     88
   295 :     37    237     36
   296 :    121    237     37
   297 :    197    233    156
   298 :     13    239     12
   299 :    252    287    204
   300 :     12    239    211
   301 :    218    248    135
   302 :    159    238    175
   303 :     35    241     34
   304 :    130    240     19
   305 :    209    289     46
   306 :    129    241     35
   307 :    205    271     58
   308 :    170    257    251
   309 :    228    272    242
   310 :    198    263    200
   311 :     26    270     25
   312 :    172    307    250
   313 :    120    243    154
   314 :    262    309    128
   315 :    224    246    161
   316 :    118    258    119
   317 :    213    267     62
   318 :    170    251    155
   319 :    167    259    214
   320 :     76    258     75
   321 :    135    248     39
   322 :     25    249     24
   323 :    149    250    223
   324 :    184    251    222
   325 :     38    248    121
   326 :    127    260     82
   327 :     58    271     57
   328 :    137    261     84
   329 :     83    261    127
   330 :    155    251    158
   331 :      2    250    124
   332 :     40    254    135
   333 :     61    268     60
   334 :     67    262    128
   335 :    208    299    260
   336 :      5    276      6
   337 :    242    272    132
   338 :    122    262     68
   339 :    136    244    229
   340 :    152    264    164
   341 :    235    277    192
   342 :    204    291    252
   343 :     60    245     59
   344 :      8    298      9
   345 :     85    278    137
   346 :    127    297    226
   347 :    257    288    219
   348 :    185    277    183
